FMID,Season1_Start_Date,Season1_End_Date,Season1Time,Season2_Start_Date,Season2_End_Date,Season3_End_Date,Season3Time,Season4_Start_Date,Season4_End_Date,Season4Time
1000986,2013-05-12T04:00:00Z,2013-10-20T04:00:00Z,Sun: 9:00 AM-2:00 PM;,2016-06-26T04:00:00Z,2016-08-01T04:00:00Z,,,,,
1010617,,,,,,,,,,
1001683,January to,cember,Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;sun:12:00 PM - 5:00 PM;,,,,,,,
1009004,2014-01-01T05:00:00Z,2014-12-31T05:00:00Z,Wed: 3:00 PM-6:30 PM;,,,,,,,
1001887,2014-05-06T04:00:00Z,2014-09-23T04:00:00Z,Tue: 5:00 PM-8:00 PM;,,,,,,,
1007585,,,,,,,,,,
1009028,2014-06-06T04:00:00Z,2014-07-25T04:00:00Z,Fri: 3:00 PM-6:00 PM;,,,,,,,
1004573,2013-06-06T04:00:00Z,2013-10-04T04:00:00Z,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,,,,,,,
1004598,May to Oct,r,Tue:1:30 PM - 5:30 PM;,,,,,,,
1003865,,,,,,,,,,
1002947,,,,,,,,,,
1004031,,,,,,,,,,
1010487,2016-04-16T04:00:00Z,2016-11-22T05:00:00Z,Tue: 3pm-6pm;Sat: 8am-1pm;,2016-11-26T05:00:00Z,2016-12-24T05:00:00Z,2016-04-09T04:00:00Z,Sat: 10:00 AM-12:00 PM;,,,
1000065,2013-01-01T05:00:00Z,2013-12-31T05:00:00Z,Sat: 8:00 AM-2:00 PM;,,,,,,,
1006988,2013-07-13T04:00:00Z,2013-09-21T04:00:00Z,Sat: 9:00 AM-12:00 PM;,,,,,,,
1007070,,,,,,,,,,
1011313,2016-01-01T05:00:00Z,2016-12-01T05:00:00Z,Sun: 12:00 AM-4:00 PM;,,,,,,,
1004762,2014-10-25T04:00:00Z,,Sat: 7:00 AM-12:00 PM;,,,,,,,
1009543,,,,,,,,,,
1002108,,,,,,,,,,
1007575,,,,,,,,,,
1005122,,,,,,,,,,
1008461,,,Mon: 9:00 AM-5:00 PM;Tue: 9:00 AM-5:00 PM;Wed: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 9:00 AM-5:00 PM;,,,,,,,
1011180,2015-05-31T04:00:00Z,2016-05-29T04:00:00Z,Sun: 9:00 AM-2:00 PM;,2015-06-07T04:00:00Z,,,,,,
1003469,2002-06-19T04:00:00Z,to October,sun:10:00 AM - 1:00 PM;,,,,,,,
1018003,2017-06-03T04:00:00Z,2017-09-30T04:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1007519,,,,,,,,,,
1001393,2010-04-01T04:00:00Z,2010-12-01T05:00:00Z,Wed: 7:00 AM-;Sat: 7:00 AM-;,,,,,,,
1001083,2015-06-09T04:00:00Z,2015-10-27T04:00:00Z,Tue: 11:00 AM-4:00 PM;,,,,,,,
1006969,,,,,,,,,,
1010467,2014-06-07T04:00:00Z,2014-09-27T04:00:00Z,Sun: 8:00 AM-11:30 PM;,,,,,,,
1017937,,,Thu: 2:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,
1011322,2016-05-19T04:00:00Z,,Thu: 2:00 PM-6:00 PM;,,,,,,,
1010354,2014-07-13T04:00:00Z,2014-09-14T04:00:00Z,Sun: 11:00 AM-2:00 PM;,,,,,,,
1018278,,,Sat: 8:00 AM-1:00 PM;,,,,,,,
1008961,2013-01-01T05:00:00Z,2013-12-31T05:00:00Z,Mon: 8:00 AM-4:00 PM;Tue: 8:00 AM-4:00 PM;Wed: 8:00 AM-4:00 PM;Thu: 8:00 AM-4:00 PM;Fri: 8:00 AM-4:00 PM;Sun: 12:00 PM-4:00 PM;,,,,,,,
1005109,,,,,,,,,,
1002464,,,,,,,,,,
1005741,,,,,,,,,,
1005272,,,,,,,,,,
1012288,2016-05-07T04:00:00Z,2016-10-29T04:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1011214,,,Wed: 11:00 AM-2:00 PM;,,,,,,,
1008667,2013-01-01T05:00:00Z,2013-12-31T05:00:00Z,Thu: 4:00 PM-7:00 PM;,,,,,,,
1007586,,,,,,,,,,
1012233,2016-05-02T04:00:00Z,2016-10-01T04:00:00Z,Mon: 7:30 AM-5:30 PM;Tue: 7:30 AM-5:30 PM;Wed: 7:30 AM-5:30 PM;Thu: 7:30 AM-5:30 PM;Fri: 7:30 AM-5:30 PM;Sat: 7:00 AM-5:30 PM;,,,,,,,
1003562,2015-01-01T05:00:00Z,2015-12-31T05:00:00Z,,,,,,,,
1011830,,,Sun: 9:00 AM-1:00 PM;,2016-06-05T04:00:00Z,2016-09-25T04:00:00Z,,,,,
1000212,,,,,,,,,,
1008054,2015-01-01T05:00:00Z,2015-12-31T05:00:00Z,Sat: 8:00 AM-3:00 PM;Sun: 8:00 AM-3:00 PM;,,,,,,,
1007542,,,,,,,,,,
